id;nom;nom_majus;cp;insee;dept;lat;long;distance
3033;Ségura;SEGURA;09120;9284;73;43.033333;1.683333;0.73
3034;Seix;SEIX;09140;9285;73;42.866667;1.2;1.47
3035;Sem;SEM;09220;9286;73;42.766667;1.516667;1.8
3036;Senconac;SENCONAC;09250;9287;73;42.8;1.7;2.23
3037;Sénesse-de-Senabugue;SENESSE DE SENABUGUE;09600;9288;73;43.05;1.833333;1.29
3038;Sentein;SENTEIN;09800;9290;73;42.866667;0.95;2.56
3039;Sentenac-d'Oust;SENTENAC D OUST;09140;9291;73;42.883333;1.183333;1.55
3040;Sentenac-de-Sérou;SENTENAC DE SEROU;09240;9292;73;42.966667;1.383333;1.11
3041;Serres-sur-Arget;SERRES SUR ARGET;09000;9293;73;42.966667;1.516667;1.33
3042;Sieuras;SIEURAS;09130;9294;73;43.183333;1.333333;1.94
3043;Siguer;SIGUER;09220;9295;73;42.766667;1.566667;1.8
3044;Sinsat;SINSAT;09310;9296;73;42.8;1.65;1.5
3045;Sor;SOR;09800;9297;73;42.916667;1.016667;2.27
3046;Sorgeat;SORGEAT;09110;9298;73;42.733333;1.85;2.1
3047;Soula;SOULA;09000;9300;73;42.95;1.7;1.74
3048;Suc-et-Sentenac;SUC ET SENTENAC;09220;9302;73;42.783333;1.483333;1.65
3049;Surba;SURBA;09400;9303;73;42.866667;1.583333;0.9
3050;Suzan;SUZAN;09240;9304;73;43.033333;1.433333;0.59
3051;Tabre;TABRE;09600;9305;73;42.983333;1.85;1.36
3052;Tarascon-sur-Ariège;TARASCON SUR ARIEGE;09400;9306;73;42.85;1.6;1.05
3053;Taurignan-Castet;TAURIGNAN CASTET;09160;9307;73;43.033333;1.083333;1.98
3054;Taurignan-Vieux;TAURIGNAN VIEUX;09190;9308;73;43.033333;1.116667;1.84
3055;Teilhet;TEILHET;09500;9309;73;43.083333;1.783333;1.07
3056;Thouars-sur-Arize;THOUARS SUR ARIZE;09350;9310;73;43.183333;1.266667;1.94
3057;Tignac;TIGNAC;09110;9311;73;42.75;1.783333;1.95
3058;La Tour-du-Crieu;LA TOUR DU CRIEU;09100;9312;73;43.1;1.633333;1.19
3059;Tourtouse;TOURTOUSE;09230;9313;73;43.083333;1.133333;1.76
3060;Tourtrol;TOURTROL;09500;9314;73;43.066667;1.8;1.15
3061;Trémoulet;TREMOULET;09700;9315;73;43.166667;1.716667;1.93
3062;Troye-d'Ariège;TROYE D ARIEGE;09500;9316;73;43.033333;1.883333;1.51
3063;Uchentein;UCHENTEIN;09800;9317;73;42.883333;1;2.35
3064;Unac;UNAC;09250;9318;73;42.766667;1.766667;1.8
3065;Unzent;UNZENT;09100;9319;73;43.166667;1.533333;1.79
3066;Urs;URS;09310;9320;73;42.783333;1.733333;1.72
3067;Ussat;USSAT;09400;9321;73;42.833333;1.616667;1.2
3068;Ustou;USTOU;09140;9322;73;42.8;1.266667;1.5
